country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023,extent_change_2000_2010,total_tree_loss_ha_2001_2023,gain_loss_ratio,GDI,GDI_Category
0.0,3.0,15.0,7849232.0,3004213.0,2805440.0,163055.0,6729.0,8127.0,5518.0,12997.0,8354.0,9175.0,12250.0,16028.0,16007.0,10569.0,14523.0,16933.0,9292.0,23245.0,13826.0,26087.0,18548.0,15350.0,11718.0,19002.0,19603.0,19322.0,18443.0,-198773.0,331646.0,0.49165226882800084,0.05611817267345136,Concerning
0.0,3.0,20.0,7849232.0,2949707.0,2771691.0,163055.0,6707.0,8098.0,5500.0,12940.0,8317.0,9138.0,12206.0,15956.0,15968.0,10523.0,14450.0,16843.0,9212.0,23062.0,13724.0,25918.0,18419.0,15216.0,11622.0,18840.0,19450.0,19171.0,18284.0,-178016.0,329564.0,0.4947582419249617,0.05644931633910882,Concerning
0.0,3.0,25.0,7849232.0,2865905.0,2713890.0,163055.0,6680.0,8074.0,5481.0,12876.0,8282.0,9100.0,12166.0,15901.0,15927.0,10478.0,14387.0,16757.0,9139.0,22912.0,13648.0,25758.0,18308.0,15107.0,11538.0,18698.0,19316.0,19044.0,18149.0,-152015.0,327726.0,0.49753300765576225,0.05745861867067517,Concerning
0.0,3.0,30.0,7849232.0,2750134.0,2565500.0,163055.0,6662.0,8055.0,5467.0,12846.0,8258.0,9071.0,12132.0,15860.0,15886.0,10445.0,14324.0,16660.0,8973.0,22553.0,13450.0,25390.0,18009.0,14803.0,11315.0,18341.0,18956.0,18726.0,17792.0,-184634.0,323974.0,0.5032950073308126,0.05851312753737544,Concerning
0.0,3.0,50.0,7849232.0,2290018.0,2050616.0,163055.0,6264.0,7613.0,5154.0,12107.0,7709.0,8431.0,11402.0,14981.0,15127.0,9731.0,13426.0,15408.0,8134.0,20419.0,12367.0,23338.0,16529.0,13287.0,10277.0,16577.0,17238.0,17030.0,16090.0,-239402.0,298639.0,0.5459918296276454,0.05920649566662984,Concerning
0.0,3.0,75.0,7849232.0,1335358.0,1104261.0,163055.0,4779.0,5566.0,3813.0,9028.0,5497.0,6072.0,8399.0,11147.0,11411.0,6912.0,9532.0,10935.0,4643.0,10583.0,7154.0,13358.0,9428.0,7124.0,5646.0,8756.0,9474.0,9143.0,8924.0,-231097.0,187324.0,0.8704390764713733,0.01817413893941629,Concerning
0.0,4.0,0.0,9423241.0,9423241.0,9423241.0,42365.0,177.0,67.0,48.0,131.0,167.0,114.0,88.0,160.0,439.0,206.0,103.0,280.0,198.0,127.0,24.0,25.0,50.0,22.0,21.0,45.0,38.0,26.0,174.0,0.0,2730.0,15.512632735261809,-0.00420608958148374,Acceptable
0.0,4.0,10.0,9423241.0,392645.0,471777.0,42365.0,156.0,49.0,34.0,89.0,118.0,79.0,56.0,104.0,313.0,135.0,72.0,128.0,22.0,24.0,6.0,12.0,39.0,11.0,6.0,26.0,14.0,14.0,65.0,79132.0,1572.0,26.93261284170375,-0.10389256480392008,Acceptable
0.0,4.0,15.0,9423241.0,257626.0,316710.0,42365.0,153.0,46.0,33.0,84.0,115.0,76.0,54.0,100.0,301.0,128.0,69.0,117.0,17.0,18.0,4.0,10.0,38.0,10.0,5.0,23.0,12.0,12.0,52.0,59084.0,1477.0,28.663734776725306,-0.15871007309016524,Acceptable
0.0,4.0,20.0,9423241.0,233146.0,299504.0,42365.0,151.0,44.0,32.0,82.0,112.0,73.0,50.0,93.0,291.0,123.0,67.0,111.0,16.0,16.0,3.0,10.0,38.0,9.0,5.0,21.0,11.0,11.0,48.0,66358.0,1417.0,29.876586741889987,-0.1756316830154366,Acceptable
